movieId,title,genre,rating_ml,release_year,tag,listed_in_netflix
1,Toy Story,Adventure,3.92093023255814,1995,pixar,
1,Toy Story,Animation,3.92093023255814,1995,pixar,
1,Toy Story,Children,3.92093023255814,1995,pixar,
1,Toy Story,Comedy,3.92093023255814,1995,pixar,
1,Toy Story,Fantasy,3.92093023255814,1995,pixar,
2,Jumanji,Adventure,3.4318181818181817,1995,fantasy,
2,Jumanji,Children,3.4318181818181817,1995,fantasy,
2,Jumanji,Fantasy,3.4318181818181817,1995,fantasy,
3,Grumpier Old Men,Comedy,3.2596153846153846,1995,moldy,
3,Grumpier Old Men,Romance,3.2596153846153846,1995,moldy,
4,Waiting to Exhale,Comedy,2.357142857142857,1995,,
4,Waiting to Exhale,Drama,2.357142857142857,1995,,
4,Waiting to Exhale,Romance,2.357142857142857,1995,,
5,Father of the Bride Part II,Comedy,3.071428571428572,1995,pregnancy,
6,Heat,Action,3.946078431372549,1995,,
6,Heat,Crime,3.946078431372549,1995,,
6,Heat,Thriller,3.946078431372549,1995,,
7,Sabrina,Comedy,3.185185185185185,1995,remake,"Horror Movies, International Movies"
7,Sabrina,Romance,3.185185185185185,1995,remake,"Horror Movies, International Movies"
8,Tom and Huck,Adventure,2.875,1995,,
8,Tom and Huck,Children,2.875,1995,,
9,Sudden Death,Action,3.125,1995,,
10,GoldenEye,Action,3.496212121212121,1995,,Action & Adventure
10,GoldenEye,Adventure,3.496212121212121,1995,,Action & Adventure
10,GoldenEye,Thriller,3.496212121212121,1995,,Action & Adventure
11,"American President, The",Comedy,3.6714285714285713,1995,politics,
11,"American President, The",Drama,3.6714285714285713,1995,politics,
11,"American President, The",Romance,3.6714285714285713,1995,politics,
12,Dracula: Dead and Loving It,Comedy,2.421052631578948,1995,,
12,Dracula: Dead and Loving It,Horror,2.421052631578948,1995,,
13,Balto,Adventure,3.125,1995,,"Children & Family Movies, Dramas"
13,Balto,Animation,3.125,1995,,"Children & Family Movies, Dramas"
13,Balto,Children,3.125,1995,,"Children & Family Movies, Dramas"
14,Nixon,Drama,3.8333333333333335,1995,politics,
15,Cutthroat Island,Action,3.0,1995,,
15,Cutthroat Island,Adventure,3.0,1995,,
15,Cutthroat Island,Romance,3.0,1995,,
16,Casino,Crime,3.926829268292683,1995,Mafia,
16,Casino,Drama,3.926829268292683,1995,Mafia,
17,Sense and Sensibility,Drama,3.776119402985074,1995,Jane Austen,
17,Sense and Sensibility,Romance,3.776119402985074,1995,Jane Austen,
18,Four Rooms,Comedy,3.7,1995,,
19,Ace Ventura: When Nature Calls,Comedy,2.727272727272727,1995,,
20,Money Train,Action,2.5,1995,,
