movieId,title,genre,release_year
1,Toy Story,Adventure,1995
1,Toy Story,Animation,1995
1,Toy Story,Children,1995
1,Toy Story,Comedy,1995
1,Toy Story,Fantasy,1995
2,Jumanji,Adventure,1995
2,Jumanji,Children,1995
2,Jumanji,Fantasy,1995
3,Grumpier Old Men,Comedy,1995
3,Grumpier Old Men,Romance,1995
4,Waiting to Exhale,Comedy,1995
4,Waiting to Exhale,Drama,1995
4,Waiting to Exhale,Romance,1995
5,Father of the Bride Part II,Comedy,1995
6,Heat,Action,1995
6,Heat,Crime,1995
6,Heat,Thriller,1995
7,Sabrina,Comedy,1995
7,Sabrina,Romance,1995
8,Tom and Huck,Adventure,1995
8,Tom and Huck,Children,1995
9,Sudden Death,Action,1995
10,GoldenEye,Action,1995
10,GoldenEye,Adventure,1995
10,GoldenEye,Thriller,1995
11,"American President, The",Comedy,1995
11,"American President, The",Drama,1995
11,"American President, The",Romance,1995
12,Dracula: Dead and Loving It,Comedy,1995
12,Dracula: Dead and Loving It,Horror,1995
13,Balto,Adventure,1995
13,Balto,Animation,1995
13,Balto,Children,1995
14,Nixon,Drama,1995
15,Cutthroat Island,Action,1995
15,Cutthroat Island,Adventure,1995
15,Cutthroat Island,Romance,1995
16,Casino,Crime,1995
16,Casino,Drama,1995
17,Sense and Sensibility,Drama,1995
17,Sense and Sensibility,Romance,1995
18,Four Rooms,Comedy,1995
19,Ace Ventura: When Nature Calls,Comedy,1995
20,Money Train,Action,1995
20,Money Train,Comedy,1995
20,Money Train,Crime,1995
20,Money Train,Drama,1995
20,Money Train,Thriller,1995
21,Get Shorty,Comedy,1995
21,Get Shorty,Crime,1995
21,Get Shorty,Thriller,1995
22,Copycat,Crime,1995
22,Copycat,Drama,1995
22,Copycat,Horror,1995
22,Copycat,Mystery,1995
22,Copycat,Thriller,1995
23,Assassins,Action,1995
23,Assassins,Crime,1995
23,Assassins,Thriller,1995
24,Powder,Drama,1995
24,Powder,Sci-Fi,1995
25,Leaving Las Vegas,Drama,1995
25,Leaving Las Vegas,Romance,1995
26,Othello,Drama,1995
27,Now and Then,Children,1995
27,Now and Then,Drama,1995
28,Persuasion,Drama,1995
28,Persuasion,Romance,1995
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure,1995
29,"City of Lost Children, The (Cité des enfants perdus, La)",Drama,1995
29,"City of Lost Children, The (Cité des enfants perdus, La)",Fantasy,1995
29,"City of Lost Children, The (Cité des enfants perdus, La)",Mystery,1995
