userId,movieId,tag,timestamp
2,60756,funny,1445714994
2,89774,Boxing story,1445715207
2,106782,drugs,1445715054
7,48516,way too long,1169687325
18,431,Al Pacino,1462138765
18,1221,Al Pacino,1461699306
18,5995,holocaust,1455735472
18,44665,twist ending,1456948283
18,52604,Anthony Hopkins,1457650696
18,88094,britpop,1457444500
18,144210,dumpster diving,1455060381
21,1569,romantic comedy,1419805413
21,118985,painter,1419805477
21,119141,bloody,1419793962
49,109487,black hole,1493093306
62,2,fantasy,1528843929
62,110,beautiful scenery,1528152541
62,410,black comedy,1525636607
62,2023,Al Pacino,1525636728
62,2124,black comedy,1525636847
62,2953,family,1525636883
62,3114,animation,1525636903
62,3578,ancient Rome,1528152504
62,4223,Ed Harris,1528024869
62,5388,Al Pacino,1530310809
62,6058,sequel,1525555053
62,6534,dogs,1525554096
62,6541,captain nemo,1525554054
62,6564,adventure,1525554439
62,7153,Adventure,1528152558
62,8641,hilarious,1526249138
62,27660,animation,1525554490
62,27706,dark comedy,1526248598
62,27808,Adam Sandler,1525554900
62,27831,British gangster,1532723304
62,31658,anime,1525869041
62,33162,David Thewlis,1525554605
62,34150,Chris Evans,1525554141
62,37729,gothic,1530310527
62,38061,black comedy,1532723380
62,45447,adventure,1525637064
62,46723,Brad Pitt,1525554217
62,46972,Ben Stiller,1525554254
62,46976,emma thompson,1536874692
62,49130,Marion Cotillard,1526582371
62,49530,Africa,1536874706
62,53464,bad acting,1525554797
62,58047,Rachel Weisz,1528909364
62,59501,fantasy,1525637507
62,60074,bad script,1525554116
62,60126,Anne Hathaway,1527004240
62,61024,comedy,1528934218
62,63992,audience intelligence underestimated,1528934237
62,68848,Adrien Brody,1527274305
62,71535,Bill Murray,1529777198
62,87430,audience intelligence underestimated,1525555172
62,88405,comedy,1525554879
62,96861,Istanbul,1529611262
62,99114,action,1526078792
62,103042,Amy Adams,1525555328
62,104863,daniel radcliffe,1528843968
62,107348,comedy,1528935011
62,108190,anti-intellectual,1525554841
62,111743,Charlize Theron,1530471420
62,114180,action,1525554460
62,115149,dark hero,1528152251
62,116897,black comedy,1528152849
62,122912,comic book,1526029023
62,128360,characters,1526078910
62,135133,dystopia,1525637480
62,135518,Ben Kingsley,1530471365
62,135536,Bad story,1525555090
62,136864,action,1525555242
62,139385,leonardo DiCarpio,1526079025
62,158966,building a family,1526076353
62,168248,action,1528152295
62,174053,Dystopia,1525637341
62,179401,Action,1528934538
62,183611,Comedy,1526244689
62,184471,adventure,1528024900
62,187593,Josh Brolin,1527274096
62,187595,Emilia Clarke,1528934560
63,260,classic,1443199698
103,296,good dialogue,1431954555
106,4896,Everything you want is here,1467566944
106,106489,adventure,1467566979
119,101142,animation,1436563067
119,115617,animation,1435944890
119,120635,action,1438439306
125,1726,Kevin Costner,1474483317
125,2387,dark comedy,1474382225
125,3052,irreverent,1474592072
125,5088,irreverent,1474592207
125,7022,based on a book,1474381749
125,7254,alternate reality,1474381441
125,8957,brutal,1474382001
125,9010,cruel characters,1474381529
125,42632,brutality,1474381492
125,58301,dark humor,1474381561
125,60950,threesome,1474591817
125,62434,Seth Rogen,1474592476
125,67695,Seth Rogen,1474382123
125,100083,embarassing scenes,1474377075
125,156371,80's,1474469700
125,158872,Crude humor,1474382035
132,3556,sofia coppola,1163148016
132,6323,John Cusack,1161800041
132,6367,Ewan McGregor,1161799885
138,59103,jackie chan,1222676394
161,52287,Something for everyone in this one... saw it without and plan on seeing it with kids!,1176498861
166,293,assassin,1188774484
166,54286,assassin,1188774519
167,104,test tag,1154718872
184,2579,black and white,1537094307
184,3793,action,1537094381
184,4226,dark,1537094453
184,6283,amazing artwork,1537094506
184,27156,anime,1537094261
184,193565,anime,1537098582
193,4878,atmospheric,1435857150
193,7147,dreamlike,1435857017
193,7361,alternate reality,1435857168
193,97938,cinematography,1435857101
226,6938,big wave,1160681362
226,48780,ummarti2006,1161615435
256,126548,funny,1447532592
274,68319,comic book,1241762577
288,7020,Notable Nudity,1150988077
289,3,moldy,1143424860
289,527,moving,1143424895
289,1101,predictable,1143424846
291,50872,a clever chef rat,1453051551
291,102007,animation,1453135047
291,118696,hope,1453135079
300,6711,atmospheric,1425352343
